"context","target"
"LOCALE","tr"
"GAME_ATS",""
"GAME_ETS",""
"BUTTON_SAVE","Kaydet"
"BUTTON_LOAD","Yükle"
"BUTTON_PREVIOUS","Önceki"
"BUTTON_NEXT","Sonraki"
"BUTTON_ABOUT","Hakkında"
"BUTTON_EXPORT","Dışarı Aktar"
"BUTTON_COLOURS","Renkler"
"BUTTON_OKAY","Tamam"
"BUTTON_CONFIRM","Onayla"
"BUTTON_CONTINUE","Devam Et"
"BUTTON_NEVERMIND","Vazgeç"
"BUTTON_YES","Evet"
"BUTTON_NO","Hayır"
"BUTTON_UPDATE","Güncelle"
"SETUP_VERSION","Sürüm %s"
"SETUP_UPDATE","Yeni sürüm mevcut!"
"SETUP_CREATE","Yeni bir proje oluştur."
"SETUP_LOAD","Mevcut bir projeyi yükle."
"SETUP_WELCOME","Paint Job Packer’a hoş geldiniz."
"SETUP_QUESTION","Bugün ne yapmak istersiniz?"
"ABOUT_TITLE","Paint Job Packer Katkıda Bulunanlar"
"ABOUT_DEVELOPER","Geliştirici:"
"ABOUT_THANKS","Özel Teşekkürler:"
"ABOUT_CONTRIBUTORS","Katkıda Bulunanlar:"
"ABOUT_TRANSLATORS","Çevirmenler:"
"MOD_TITLE","Mod Yöneticisi Bilgisi"
"MOD_NAME","Mod Adı"
"MOD_AUTHOR","Yazar"
"MOD_VERSION","Version"
"MOD_DESCRIPTION","Açıklama"
"MOD_QUESTION","Modunuz hangi oyun için?"
"CABIN_LARGEST","Sadece en büyük kabin"
"CABIN_ALL","Tüm kabinler"
"CABIN_SELECTED","Seçilen kabinler"
"CABIN_DSPLIT","Bölme, her kamyona bir tane"
"CABIN_SPLIT","Böl, her kabine bir tane"
"PJOB_TITLE","Oyun İçi Boya İş Bilgisi"
"PJOB_NAME","İsim"
"PJOB_PRICE","Fiyat"
"PJOB_UNLOCK","Kilidi açma seviyesi"
"PJOB_UNLOCKD","Varsayılan olarak açık"
"PJOB_VEHICLES","Desteklenen Araçlar (%s)"
"INTERNAL_TITLE","Diğer Ayarlar"
"INTERNAL_NAME","Dahili İsmi"
"INTERNAL_CABIN","Desteklenen kabinler"
"INTERNAL_PJOB","Boya işleri bölünsün"
"TAB_TRUCKS","Kamyonlar"
"TAB_TRAILERS","Dorseler"
"TAB_BUSES","Otobüsler"
"TAB_CARS","Arabalar"
"TAB_TRUCK_MODS","Kamyon Modu"
"TAB_TRAILER_MODS","Dorse Modu"
"TAB_BUS_MODS","Otobüs Modu"
"TAB_CAR_MODS","Araba Modu"
"TAB_NEW","Yeni Boya İşlemi"
"WARN_MNAME_BLANK","Mod adı boş olamaz, lütfen bir mod adı girin."
"WARN_MNAME_BLANKS","Mod adı boş."
"WARN_MNAME_INVAL","Mod adı şu karakterleri içeremez:"
"WARN_MNAME_INVALS","Mod adı geçersiz karakterler içeriyor."
"WARN_MNAME_FULL","Mod adı nokta (.) ile bitemez."
"WARN_MNAME_FULLS","Mod adı nokta ile bitiyor."
"WARN_MNAME_SPC","Mod adı boşluk ile bitemez."
"WARN_MNAME_SPCS","Mod adı boşluk ile bitiyor."
"WARN_MNAME_RESER","Mod adı aşağıdakilerden biri olamaz:"
"WARN_MNAME_RESERS","Mod adı ayrılmış bir dosya adıdır."
"WARNING_HELP","Yardım"
"WARNING_TITLE","Uyarı"
"WARN_MAUTH_INVAL","Mod yazarı şu karakterleri içeremez:"
"WARN_MAUTH_INVALS","Mod yazarı geçersiz karakterler içeriyor."
"WARN_MVER_INVAL","Mod sürümü şu karakterleri içeremez:"
"WARN_MVER_INVALS","Mod sürümü geçersiz karakterler içeriyor."
"WARN_PNAME_BLANK","Boya işi adı boş olamaz, lütfen bir boya işi adı girin."
"WARN_PNAME_BLANKS","Boya işi adı boş."
"WARN_PNAME_INVAL","Boya işi adı şu karakterleri içeremez:"
"WARN_PNAME_INVALS","Boya işi adı geçersiz karakterler içeriyor."
"WARN_PNAME_FULL","Boya işi adı nokta (.) ile bitemez."
"WARN_PNAME_FULLS","Boya işi adı nokta (.) ile bitemez."
"WARN_PNAME_SPC","Boya işi adı boşluk ile bitemez."
"WARN_PNAME_SPCS","Boya işi adı boşluk ile bitiyor."
"WARN_PNAME_RESER","Boya işi adı aşağıdakilerden biri olamaz:"
"WARN_PNAME_RESERS","Boya işi adı ayrılmış bir dosya adıdır."
"WARN_PNAME_ASCII","Boya işi adı yalnızca ASCII karakterleri içerebilir:"
"WARN_PNAME_ASCIIS","Boya işi adı ASCII değil."
"WARN_PRICE_ZERO","Fiyat sıfır olamaz."
"WARN_PRICE_ZEROS","Fiyat sıfır."
"WARN_INAME_BLANK","Dahili ad boş olamaz, lütfen bir dahili ad girin."
"WARN_INAME_BLANKS","Dahili ad boş."
"WARN_INAME_BLANKW","Boya işi dahili adı boş."
"WARN_INAME_LONG10","Dahili ad 10 karakterden uzun olamaz."
"WARN_INAME_LONG12","Dahili ad 12 karakterden uzun olamaz."
"WARN_INAME_LONGS","Dahili ad çok uzun."
"WARN_INAME_LONGW","Boya işi dahili adı çok uzun."
"WARN_INAME_ALPHA","Dahili ad yalnızca şu karakterleri içerebilir ve boşluk içeremez:"
"WARN_INAME_ALPHAS","Dahili ad alfanümerik değil."
"WARN_INAME_ALPHAW","Boya işi dahili adı alfanümerik değil."
"WARN_INAME_RESER","Dahili ad aşağıdakilerden biri olamaz:"
"WARN_INAME_RESERS","Dahili ad ayrılmış bir dosya adıdır."
"WARN_INAME_RESERW","Boya işi dahili adı ayrılmış bir dosya adıdır."
"WARN_INAME_CONF","Aşağıdaki boya işleri aynı dahili ada sahip:"
"WARN_INAME_CONFS","Çakışan dahili adlar"
"WARN_INAME_CONFW","Çakışan boya işi dahili adları"
